ID,Season.episode,Episode,UserRating,UserVotes,amazon.affiliates.V1,amazon.affiliates.V2,amazon.affiliates.V3,amazon.affiliates.V4,amazon.affiliates.V5,amazon.affiliates.V6,amazon.affiliates.V7,amazon.affiliates.V8
11,2.4,Down,8.3,8119,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
12,2.5,Breakage,8.4,7948,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
13,2.6,Peekaboo,8.9,8947,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
14,2.7,Negro Y Azul,8.7,8069,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
15,2.8,Better Call Saul,9.1,9312,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
16,2.9,4 Days Out,9,9227,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
17,2.1,Over,8.6,7877,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
18,2.11,Mandala,8.9,8160,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
19,2.12,Phoenix,9.2,9175,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
20,2.13,ABQ,9.2,9246,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
21,3.1,No Más,8.6,7864,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
22,3.2,Caballo sin Nombre,8.7,7548,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
23,3.3,I.F.T.,8.5,7525,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
24,3.4,Green Light,8.3,7537,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
25,3.5,Más,8.7,7316,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
26,3.6,Sunset,9.3,8933,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
27,3.7,One Minute,9.6,11300,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
28,3.8,I See You,8.8,7647,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
29,3.9,Kafkaesque,8.5,7504,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
30,3.1,Fly,7.7,13126,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
31,3.11,Abiquiu,8.5,7450,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
32,3.12,Half Measures,9.5,10779,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
33,3.13,Full Measure,9.6,12259,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
34,4.1,Box Cutter,9.2,9897,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
35,4.2,Thirty-Eight Snub,8.3,7815,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
36,4.3,Open House,8.1,7828,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
37,4.4,Bullet Points,8.7,7462,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
38,4.5,Shotgun,8.7,7482,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
39,4.6,Cornered,8.5,7563,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
40,4.7,Problem Dog,8.9,7960,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
41,4.8,Hermanos,9.2,8947,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
42,4.9,Bug,8.9,7994,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
43,4.1,Salud,9.6,11701,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
44,4.11,Crawl Space,9.6,13568,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
45,4.12,End Times,9.4,10274,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
46,4.13,Face Off,9.9,26292,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
47,5.1,Live Free or Die,9.3,12234,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
48,5.2,Madrigal,8.9,9816,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
49,5.3,Hazard Pay,8.9,9412,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
50,5.4,Fifty-One,8.8,9500,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
51,5.5,Dead Freight,9.6,14922,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
52,5.6,Buyout,9,9701,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
53,5.7,Say My Name,9.5,12637,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
54,5.8,Gliding Over All,9.6,13672,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
55,5.9,Blood Money,9.4,13580,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
56,5.1,Buried,9.1,11268,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
57,5.11,Confessions,9.6,14425,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
58,5.12,Rabid Dog,9.1,11756,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
59,5.13,To'hajiilee,9.8,21490,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
60,5.14,Ozymandias,10,86895,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
61,5.15,Granite State,9.6,21448,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
62,5.16,Felina,9.9,58851,Amazon VideoWatch Movies &TV Online,Prime VideoUnlimited Streamingof Movies & TV,Amazon GermanyBuy Movies onDVD & Blu-ray,Amazon ItalyBuy Movies onDVD & Blu-ray,Amazon FranceBuy Movies onDVD & Blu-ray,Amazon IndiaBuy Movie andTV Show DVDs,DPReviewDigitalPhotography,AudibleDownloadAudio Books
